# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 97 
3.9	-0.000134362 0.0163652 -7.12536e-05	
3.91	-0.000134359 0.0163652 -7.12538e-05	
3.92	-0.000134356 0.0163652 -7.12541e-05	
3.93	-0.000134353 0.0163653 -7.12543e-05	
3.94	-0.00013435 0.0163653 -7.12546e-05	
3.95	-0.000134347 0.0163653 -7.12549e-05	
3.96	-0.000134345 0.0163653 -7.12552e-05	
3.97	-0.000134342 0.0163653 -7.12555e-05	
3.98	-0.000134339 0.0163653 -7.12559e-05	
3.99	-0.000134337 0.0163653 -7.12563e-05	
4	-0.000134334 0.0163653 -7.12567e-05	
4.01	-0.000134331 0.0163653 -7.12571e-05	
4.02	-0.000134329 0.0163653 -7.12575e-05	
4.03	-0.000134326 0.0163654 -7.1258e-05	
4.04	-0.000134324 0.0163654 -7.12584e-05	
4.05	-0.000134321 0.0163654 -7.12589e-05	
4.06	-0.000134319 0.0163654 -7.12594e-05	
4.07	-0.000134316 0.0163654 -7.126e-05	
4.08	-0.000134314 0.0163654 -7.12605e-05	
4.09	-0.000134312 0.0163654 -7.12611e-05	
4.1	-0.000134309 0.0163654 -7.12617e-05	
4.11	-0.000134307 0.0163654 -7.12623e-05	
4.12	-0.000134305 0.0163654 -7.12629e-05	
4.13	-0.000134302 0.0163655 -7.12635e-05	
4.14	-0.0001343 0.0163655 -7.12642e-05	
4.15	-0.000134298 0.0163655 -7.12648e-05	
4.16	-0.000134296 0.0163655 -7.12655e-05	
4.17	-0.000134294 0.0163655 -7.12662e-05	
4.18	-0.000134292 0.0163655 -7.12668e-05	
4.19	-0.00013429 0.0163655 -7.12675e-05	
4.2	-0.000134288 0.0163655 -7.12681e-05	
4.21	-0.000134286 0.0163655 -7.12687e-05	
4.22	-0.000134284 0.0163656 -7.12692e-05	
4.23	-0.000134283 0.0163656 -7.12698e-05	
4.24	-0.000134281 0.0163656 -7.12703e-05	
4.25	-0.000134279 0.0163656 -7.12709e-05	
4.26	-0.000134278 0.0163656 -7.12715e-05	
4.27	-0.000134276 0.0163656 -7.12721e-05	
4.28	-0.000134275 0.0163656 -7.12728e-05	
4.29	-0.000134273 0.0163656 -7.12734e-05	
4.3	-0.000134272 0.0163656 -7.1274e-05	
4.31	-0.00013427 0.0163656 -7.12747e-05	
4.32	-0.000134268 0.0163657 -7.12753e-05	
4.33	-0.000134267 0.0163657 -7.1276e-05	
4.34	-0.000134265 0.0163657 -7.12767e-05	
4.35	-0.000134264 0.0163657 -7.12773e-05	
4.36	-0.000134262 0.0163657 -7.1278e-05	
4.37	-0.000134261 0.0163657 -7.12786e-05	
4.38	-0.000134259 0.0163657 -7.12793e-05	
4.39	-0.000134258 0.0163657 -7.128e-05	
4.4	-0.000134257 0.0163657 -7.12806e-05	
4.41	-0.000134255 0.0163658 -7.12813e-05	
4.42	-0.000134254 0.0163658 -7.12819e-05	
4.43	-0.000134252 0.0163658 -7.12826e-05	
4.44	-0.000134251 0.0163658 -7.12832e-05	
4.45	-0.000134249 0.0163658 -7.12839e-05	
4.46	-0.000134248 0.0163658 -7.12845e-05	
4.47	-0.000134247 0.0163658 -7.12852e-05	
4.48	-0.000134245 0.0163658 -7.12858e-05	
4.49	-0.000134244 0.0163658 -7.12865e-05	
4.5	-0.000134242 0.0163658 -7.12871e-05	
4.51	-0.000134241 0.0163659 -7.12878e-05	
4.52	-0.00013424 0.0163659 -7.12884e-05	
4.53	-0.000134238 0.0163659 -7.12891e-05	
4.54	-0.000134237 0.0163659 -7.12897e-05	
4.55	-0.000134236 0.0163659 -7.12903e-05	
4.56	-0.000134234 0.0163659 -7.1291e-05	
4.57	-0.000134233 0.0163659 -7.12916e-05	
4.58	-0.000134232 0.0163659 -7.12923e-05	
4.59	-0.00013423 0.0163659 -7.12929e-05	
4.6	-0.000134229 0.0163659 -7.12935e-05	
4.61	-0.000134228 0.016366 -7.12942e-05	
4.62	-0.000134227 0.016366 -7.12948e-05	
4.63	-0.000134225 0.016366 -7.12955e-05	
4.64	-0.000134224 0.016366 -7.12961e-05	
4.65	-0.000134223 0.016366 -7.12967e-05	
4.66	-0.000134221 0.016366 -7.12974e-05	
4.67	-0.00013422 0.016366 -7.1298e-05	
4.68	-0.000134219 0.016366 -7.12987e-05	
4.69	-0.000134218 0.016366 -7.12993e-05	
4.7	-0.000134217 0.016366 -7.12999e-05	
4.71	-0.000134215 0.0163661 -7.13006e-05	
4.72	-0.000134214 0.0163661 -7.13012e-05	
4.73	-0.000134213 0.0163661 -7.13018e-05	
4.74	-0.000134212 0.0163661 -7.13025e-05	
4.75	-0.000134211 0.0163661 -7.13031e-05	
4.76	-0.000134209 0.0163661 -7.13037e-05	
4.77	-0.000134208 0.0163661 -7.13044e-05	
4.78	-0.000134207 0.0163661 -7.1305e-05	
4.79	-0.000134206 0.0163661 -7.13057e-05	
4.8	-0.000134205 0.0163661 -7.13063e-05	
4.81	-0.000134203 0.0163662 -7.13069e-05	
4.82	-0.000134202 0.0163662 -7.13076e-05	
4.83	-0.000134201 0.0163662 -7.13082e-05	
4.84	-0.0001342 0.0163662 -7.13088e-05	
4.85	-0.000134199 0.0163662 -7.13095e-05	
4.86	-0.000134198 0.0163662 -7.13101e-05	
4.87	-0.000134197 0.0163662 -7.13108e-05	
4.88	-0.000134196 0.0163662 -7.13114e-05	
4.89	-0.000134194 0.0163662 -7.13121e-05	
4.9	-0.000134193 0.0163662 -7.13127e-05	
4.91	-0.000134192 0.0163663 -7.13133e-05	
4.92	-0.000134191 0.0163663 -7.1314e-05	
4.93	-0.00013419 0.0163663 -7.13146e-05	
4.94	-0.000134189 0.0163663 -7.13153e-05	
4.95	-0.000134188 0.0163663 -7.13159e-05	
4.96	-0.000134187 0.0163663 -7.13166e-05	
4.97	-0.000134186 0.0163663 -7.13172e-05	
4.98	-0.000134185 0.0163663 -7.13179e-05	
4.99	-0.000134184 0.0163663 -7.13185e-05	
5	-0.000134183 0.0163663 -7.13192e-05	
5.01	-0.000134182 0.0163664 -7.13198e-05	
5.02	-0.00013418 0.0163664 -7.13205e-05	
5.03	-0.000134179 0.0163664 -7.13211e-05	
5.04	-0.000134178 0.0163664 -7.13218e-05	
5.05	-0.000134177 0.0163664 -7.13224e-05	
5.06	-0.000134176 0.0163664 -7.13231e-05	
5.07	-0.000134175 0.0163664 -7.13238e-05	
5.08	-0.000134174 0.0163664 -7.13244e-05	
5.09	-0.000134173 0.0163664 -7.13251e-05	
5.1	-0.000134172 0.0163664 -7.13257e-05	
5.11	-0.000134171 0.0163664 -7.13264e-05	
5.12	-0.00013417 0.0163665 -7.13271e-05	
5.13	-0.000134169 0.0163665 -7.13277e-05	
5.14	-0.000134168 0.0163665 -7.13284e-05	
5.15	-0.000134167 0.0163665 -7.13291e-05	
