# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 97 
1.76	-0.000185241 0.0173499 -0.000107405	
1.77	-0.000185237 0.0173499 -0.000107408	
1.78	-0.000185233 0.0173499 -0.000107409	
1.79	-0.000185228 0.0173499 -0.000107412	
1.8	-0.000185225 0.0173499 -0.000107413	
1.81	-0.00018522 0.0173499 -0.000107416	
1.82	-0.000185216 0.0173499 -0.000107417	
1.83	-0.000185212 0.0173499 -0.000107418	
1.84	-0.000185208 0.0173499 -0.000107419	
1.85	-0.000185204 0.0173499 -0.00010742	
1.86	-0.0001852 0.0173499 -0.00010742	
1.87	-0.000185196 0.0173499 -0.000107421	
1.88	-0.000185193 0.0173499 -0.000107421	
1.89	-0.000185189 0.0173499 -0.000107422	
1.9	-0.000185185 0.0173499 -0.000107421	
1.91	-0.000185181 0.0173499 -0.000107422	
1.92	-0.000185178 0.0173499 -0.000107421	
1.93	-0.000185177 0.0173498 -0.000107419	
1.94	-0.000185173 0.0173498 -0.00010742	
1.95	-0.000185169 0.0173498 -0.000107418	
1.96	-0.000185165 0.0173498 -0.000107418	
1.97	-0.000185162 0.0173498 -0.000107416	
1.98	-0.000185161 0.0173498 -0.000107414	
1.99	-0.000185157 0.0173498 -0.000107414	
2	-0.000185154 0.0173498 -0.000107411	
2.01	-0.00018515 0.0173498 -0.000107411	
2.02	-0.000185147 0.0173498 -0.000107408	
2.03	-0.000185143 0.0173498 -0.000107407	
2.04	-0.000185141 0.0173498 -0.000107405	
2.05	-0.00018514 0.0173498 -0.000107402	
2.06	-0.000185137 0.0173498 -0.000107401	
2.07	-0.000185134 0.0173498 -0.000107398	
2.08	-0.000185131 0.0173498 -0.000107397	
2.09	-0.000185128 0.0173498 -0.000107394	
2.1	-0.000185128 0.0173498 -0.000107391	
2.11	-0.000185124 0.0173498 -0.00010739	
2.12	-0.000185122 0.0173498 -0.000107386	
2.13	-0.000185119 0.0173498 -0.000107385	
2.14	-0.000185117 0.0173498 -0.000107381	
2.15	-0.000185117 0.0173498 -0.000107378	
2.16	-0.000185113 0.0173498 -0.000107377	
2.17	-0.000185111 0.0173498 -0.000107373	
2.18	-0.000185111 0.0173498 -0.00010737	
2.19	-0.000185108 0.0173498 -0.000107368	
2.2	-0.000185106 0.0173498 -0.000107365	
2.21	-0.000185105 0.0173498 -0.000107361	
2.22	-0.000185102 0.0173498 -0.00010736	
2.23	-0.0001851 0.0173498 -0.000107356	
2.24	-0.0001851 0.0173498 -0.000107353	
2.25	-0.000185096 0.0173498 -0.000107352	
2.26	-0.000185094 0.0173498 -0.000107348	
2.27	-0.000185094 0.0173498 -0.000107345	
2.28	-0.000185091 0.0173498 -0.000107344	
2.29	-0.000185089 0.0173498 -0.00010734	
2.3	-0.000185089 0.0173498 -0.000107337	
2.31	-0.000185086 0.0173498 -0.000107336	
2.32	-0.000185084 0.0173498 -0.000107332	
2.33	-0.000185084 0.0173498 -0.000107329	
2.34	-0.000185081 0.0173498 -0.000107328	
2.35	-0.000185079 0.0173498 -0.000107325	
2.36	-0.000185079 0.0173498 -0.000107322	
2.37	-0.000185076 0.0173498 -0.000107321	
2.38	-0.000185074 0.0173498 -0.000107318	
2.39	-0.000185074 0.0173498 -0.000107315	
2.4	-0.000185071 0.0173498 -0.000107314	
2.41	-0.000185069 0.0173498 -0.000107311	
2.42	-0.000185069 0.0173498 -0.000107308	
2.43	-0.000185066 0.0173498 -0.000107307	
2.44	-0.000185065 0.0173498 -0.000107304	
2.45	-0.000185065 0.0173498 -0.000107301	
2.46	-0.000185062 0.0173498 -0.000107301	
2.47	-0.00018506 0.0173498 -0.000107298	
2.48	-0.00018506 0.0173498 -0.000107295	
2.49	-0.000185058 0.0173498 -0.000107294	
2.5	-0.000185057 0.0173498 -0.000107292	
2.51	-0.000185056 0.0173498 -0.000107289	
2.52	-0.000185053 0.0173498 -0.000107288	
2.53	-0.000185051 0.0173498 -0.000107286	
2.54	-0.00018505 0.0173498 -0.000107283	
2.55	-0.000185047 0.0173498 -0.000107282	
2.56	-0.000185045 0.0173498 -0.00010728	
2.57	-0.000185044 0.0173498 -0.000107278	
2.58	-0.000185041 0.0173498 -0.000107277	
2.59	-0.000185038 0.0173498 -0.000107275	
2.6	-0.000185037 0.0173498 -0.000107273	
2.61	-0.000185034 0.0173498 -0.000107273	
2.62	-0.000185031 0.0173498 -0.000107271	
2.63	-0.00018503 0.0173498 -0.000107269	
2.64	-0.000185027 0.0173498 -0.000107269	
2.65	-0.000185025 0.0173498 -0.000107267	
2.66	-0.000185023 0.0173498 -0.000107265	
2.67	-0.00018502 0.0173498 -0.000107265	
2.68	-0.000185018 0.0173498 -0.000107263	
2.69	-0.000185017 0.0173498 -0.000107261	
2.7	-0.000185014 0.0173498 -0.000107261	
2.71	-0.000185011 0.0173498 -0.000107259	
2.72	-0.00018501 0.0173498 -0.000107258	
2.73	-0.000185007 0.0173498 -0.000107257	
2.74	-0.000185005 0.0173498 -0.000107256	
2.75	-0.000185004 0.0173498 -0.000107254	
2.76	-0.000185002 0.0173498 -0.000107253	
2.77	-0.000184999 0.0173498 -0.000107253	
2.78	-0.000184996 0.0173498 -0.000107251	
2.79	-0.000184994 0.0173498 -0.00010725	
2.8	-0.000184993 0.0173498 -0.000107249	
2.81	-0.000184989 0.0173497 -0.000107248	
2.82	-0.000184987 0.0173497 -0.000107247	
2.83	-0.000184985 0.0173497 -0.000107245	
2.84	-0.000184983 0.0173497 -0.000107244	
2.85	-0.00018498 0.0173497 -0.000107244	
2.86	-0.000184977 0.0173497 -0.000107243	
2.87	-0.000184976 0.0173497 -0.000107241	
2.88	-0.000184974 0.0173497 -0.00010724	
2.89	-0.000184972 0.0173497 -0.000107239	
2.9	-0.000184968 0.0173497 -0.000107238	
2.91	-0.000184966 0.0173497 -0.000107237	
2.92	-0.000184964 0.0173497 -0.000107236	
2.93	-0.000184962 0.0173497 -0.000107234	
2.94	-0.00018496 0.0173497 -0.000107233	
2.95	-0.000184958 0.0173497 -0.000107232	
2.96	-0.000184955 0.0173497 -0.000107231	
2.97	-0.000184953 0.0173497 -0.00010723	
2.98	-0.00018495 0.0173497 -0.000107229	
2.99	-0.000184947 0.0173497 -0.000107228	
3	-0.000184944 0.0173497 -0.000107227	
3.01	-0.000184942 0.0173497 -0.000107226	
3.02	-0.000184939 0.0173497 -0.000107225	
3.03	-0.000184936 0.0173497 -0.000107223	
3.04	-0.000184933 0.0173497 -0.000107222	
3.05	-0.000184931 0.0173497 -0.000107221	
3.06	-0.000184928 0.0173497 -0.00010722	
3.07	-0.000184926 0.0173497 -0.000107219	
3.08	-0.000184923 0.0173497 -0.000107218	
3.09	-0.000184921 0.0173497 -0.000107217	
3.1	-0.000184918 0.0173497 -0.000107215	
3.11	-0.000184916 0.0173497 -0.000107214	
3.12	-0.000184913 0.0173497 -0.000107213	
3.13	-0.000184911 0.0173497 -0.000107212	
3.14	-0.000184908 0.0173497 -0.000107211	
3.15	-0.000184906 0.0173497 -0.000107209	
3.16	-0.000184904 0.0173497 -0.000107208	
3.17	-0.000184901 0.0173497 -0.000107207	
3.18	-0.000184899 0.0173497 -0.000107206	
3.19	-0.000184897 0.0173497 -0.000107204	
3.2	-0.000184895 0.0173497 -0.000107203	
3.21	-0.000184892 0.0173497 -0.000107202	
3.22	-0.00018489 0.0173497 -0.000107201	
3.23	-0.000184888 0.0173497 -0.0001072	
3.24	-0.000184886 0.0173497 -0.000107198	
3.25	-0.000184883 0.0173497 -0.000107197	
3.26	-0.000184881 0.0173497 -0.000107196	
3.27	-0.000184879 0.0173497 -0.000107195	
3.28	-0.000184877 0.0173497 -0.000107193	
3.29	-0.000184875 0.0173497 -0.000107192	
3.3	-0.000184873 0.0173497 -0.000107191	
3.31	-0.00018487 0.0173497 -0.00010719	
3.32	-0.000184868 0.0173497 -0.000107188	
3.33	-0.000184866 0.0173497 -0.000107187	
3.34	-0.000184864 0.0173497 -0.000107186	
3.35	-0.000184862 0.0173497 -0.000107185	
3.36	-0.00018486 0.0173497 -0.000107184	
3.37	-0.000184858 0.0173497 -0.000107182	
3.38	-0.000184856 0.0173497 -0.000107181	
3.39	-0.000184854 0.0173497 -0.00010718	
3.4	-0.000184852 0.0173497 -0.000107179	
3.41	-0.00018485 0.0173497 -0.000107177	
3.42	-0.000184848 0.0173497 -0.000107176	
3.43	-0.000184846 0.0173497 -0.000107175	
3.44	-0.000184844 0.0173497 -0.000107174	
3.45	-0.000184842 0.0173497 -0.000107173	
3.46	-0.00018484 0.0173497 -0.000107171	
3.47	-0.00018484 0.0173497 -0.000107169	
3.48	-0.00018484 0.0173497 -0.000107168	
3.49	-0.000184836 0.0173497 -0.000107168	
3.5	-0.000184834 0.0173497 -0.000107166	
3.51	-0.000184834 0.0173497 -0.000107164	
3.52	-0.000184831 0.0173497 -0.000107165	
3.53	-0.000184829 0.0173497 -0.000107163	
3.54	-0.000184829 0.0173497 -0.000107161	
3.55	-0.000184829 0.0173497 -0.000107159	
3.56	-0.000184826 0.0173497 -0.000107159	
3.57	-0.000184825 0.0173497 -0.000107157	
3.58	-0.000184824 0.0173497 -0.000107155	
3.59	-0.000184822 0.0173496 -0.000107154	
3.6	-0.000184819 0.0173496 -0.000107153	
3.61	-0.000184817 0.0173496 -0.000107152	
3.62	-0.000184816 0.0173496 -0.00010715	
3.63	-0.000184814 0.0173496 -0.000107149	
3.64	-0.000184811 0.0173496 -0.000107148	
3.65	-0.000184809 0.0173496 -0.000107147	
3.66	-0.000184808 0.0173496 -0.000107145	
3.67	-0.000184806 0.0173496 -0.000107144	
3.68	-0.000184805 0.0173496 -0.000107143	
3.69	-0.000184802 0.0173496 -0.000107143	
3.7	-0.0001848 0.0173496 -0.000107142	
3.71	-0.000184798 0.0173496 -0.00010714	
3.72	-0.000184797 0.0173496 -0.000107139	
3.73	-0.000184796 0.0173496 -0.000107138	
3.74	-0.000184794 0.0173496 -0.000107137	
3.75	-0.000184792 0.0173496 -0.000107136	
3.76	-0.00018479 0.0173496 -0.000107135	
3.77	-0.000184788 0.0173496 -0.000107134	
3.78	-0.000184786 0.0173496 -0.000107133	
3.79	-0.000184784 0.0173496 -0.000107132	
3.8	-0.000184782 0.0173496 -0.000107131	
3.81	-0.00018478 0.0173496 -0.00010713	
3.82	-0.000184778 0.0173496 -0.000107129	
3.83	-0.000184776 0.0173496 -0.000107128	
3.84	-0.000184774 0.0173496 -0.000107127	
3.85	-0.000184772 0.0173496 -0.000107126	
3.86	-0.00018477 0.0173496 -0.000107126	
3.87	-0.000184769 0.0173496 -0.000107125	
3.88	-0.000184767 0.0173496 -0.000107124	
3.89	-0.000184765 0.0173496 -0.000107123	
3.9	-0.000184763 0.0173496 -0.000107122	
3.91	-0.000184761 0.0173496 -0.000107121	
3.92	-0.000184759 0.0173496 -0.000107121	
3.93	-0.000184757 0.0173496 -0.00010712	
3.94	-0.000184756 0.0173496 -0.000107119	
3.95	-0.000184754 0.0173496 -0.000107118	
3.96	-0.000184752 0.0173496 -0.000107117	
3.97	-0.00018475 0.0173496 -0.000107116	
3.98	-0.000184749 0.0173496 -0.000107116	
3.99	-0.000184747 0.0173496 -0.000107115	
4	-0.000184745 0.0173496 -0.000107114	
4.01	-0.000184743 0.0173496 -0.000107113	
